test_id,athlete_id,block_id,test_date,test_type,metric_name,metric_value,unit,test_context,attempts,best_attempt,surface,shoes,warmup_quality_1_5,notes,previous_test_value,change_from_previous_test,three_test_rolling_average,personal_best_to_date,personal_best_flag,baseline_value,change_from_baseline,percent_change_from_baseline,sleep_hours,sleep_quality_1_5,soreness_overall_1_10,knee_pain_0_10,ankle_pain_0_10,energy_1_5,stress_1_5,motivation_1_5,readiness_score,seven_day_training_load,twenty_eight_day_training_load,load_spike_ratio,recommendation,previous_night_sleep_hours,previous_night_sleep_quality,previous_session_date,previous_session_type,previous_session_focus,previous_session_duration,previous_session_rpe,previous_session_load,days_since_previous_session
3,1,1,2026-01-01,jump_test,approach_touch,127.2,inches,After practice,3,127.2,Track surface,Basketball shoes,4,,,,127.2,127.2,True,127.2,0.0,0.0,8.2,5,2,1,1,5,3,5,88.5,100.0,100.0,,Train Hard,,,,,,,,,
7,1,1,2026-01-06,jump_test,approach_touch,129.6,inches,Fresh,5,129.6,Weight room,Training shoes,5,,127.2,2.3999999999999915,128.4,129.6,True,127.2,2.3999999999999915,1.89,6.9,3,1,0,0,5,2,5,84.1,1372.0,1372.0,,Train Hard,6.9,1.0,2026-01-05,strength,Lower-body strength,54.0,6.0,324.0,1.0
11,1,1,2026-01-11,jump_test,approach_touch,127.8,inches,After practice,3,127.8,Indoor court,Training shoes,4,,129.6,-1.7999999999999972,128.2,129.6,False,127.2,0.5999999999999943,0.47,7.3,3,1,2,1,5,4,5,77.5,2778.0,3658.0,,Train Hard,8.1,3.0,2026-01-10,volleyball,Open gym or tournament,75.0,7.0,525.0,1.0
15,1,1,2026-01-16,jump_test,approach_touch,127.9,inches,Fresh,3,127.9,Weight room,Training shoes,2,,127.8,0.10000000000000853,128.43,129.6,False,127.2,0.7000000000000028,0.55,6.7,2,1,1,0,5,3,5,76.1,2255.0,5388.0,,Train Hard,5.6,2.0,2026-01-15,recovery,Mobility and low-intensity recovery,35.0,2.0,70.0,1.0
19,1,1,2026-01-21,jump_test,approach_touch,127.4,inches,After warmup,4,127.4,Indoor court,Training shoes,3,,127.9,-0.5,127.7,129.6,False,127.2,0.20000000000000284,0.16,5.4,1,1,0,0,5,2,5,73.2,2391.0,7261.0,,Train Hard,7.9,3.0,2026-01-20,plyometric,Jump power and elasticity,45.0,8.0,360.0,1.0
23,1,2,2026-01-26,jump_test,approach_touch,129.2,inches,After warmup,3,129.2,Track surface,Volleyball shoes,4,,127.4,1.799999999999983,128.17,129.6,False,127.2,1.9999999999999858,1.57,6.6,2,1,0,0,5,4,5,72.2,2462.0,8895.0,,Train Hard,8.1,4.0,2026-01-25,rest,Full rest day,0.0,0.0,0.0,1.0
27,1,2,2026-01-31,jump_test,approach_touch,127.2,inches,After practice,3,127.2,Track surface,Training shoes,4,,129.2,-1.9999999999999858,127.93,129.6,False,127.2,0.0,0.0,7.0,2,2,4,1,5,4,5,70.8,2811.0,10336.0,1.0878482972136223,Train Hard,6.5,2.0,2026-01-30,strength,Upper-body strength,70.0,7.0,490.0,1.0
31,1,2,2026-02-05,jump_test,approach_touch,127.7,inches,Fresh,3,127.7,Track surface,Basketball shoes,4,,127.2,0.5,128.03,129.6,False,127.2,0.5,0.39,6.0,1,3,1,1,5,3,5,66.4,2907.0,10403.0,1.1177544938959916,Modify Training,6.5,3.0,2026-02-04,volleyball,Skill practice and gameplay,112.0,7.0,784.0,1.0
35,1,2,2026-02-10,jump_test,approach_touch,130.7,inches,After practice,3,130.7,Indoor court,Basketball shoes,4,,127.7,2.999999999999986,128.53,130.7,True,127.2,3.499999999999986,2.75,6.3,3,3,0,2,5,2,5,78.3,2413.0,10054.0,0.9600159140640541,Train Hard,5.4,1.0,2026-02-09,strength,Lower-body strength,79.0,7.0,553.0,1.0
39,1,2,2026-02-15,jump_test,approach_touch,129.1,inches,After practice,3,129.1,Track surface,Volleyball shoes,5,,130.7,-1.5999999999999943,129.17,130.7,False,127.2,1.8999999999999915,1.49,6.9,3,3,1,0,5,4,5,72.1,2998.0,10377.0,1.155632649127879,Train Hard,7.4,3.0,2026-02-14,volleyball,Open gym or tournament,120.0,4.0,480.0,1.0
43,1,3,2026-02-20,jump_test,approach_touch,127.4,inches,Morning test,5,127.4,Indoor court,Volleyball shoes,4,,129.1,-1.6999999999999886,129.07,130.7,False,127.2,0.20000000000000284,0.16,6.7,1,4,0,2,5,3,5,65.7,3159.0,11533.0,1.095638602271742,Modify Training,6.6,2.0,2026-02-19,recovery,Mobility and low-intensity recovery,34.0,3.0,102.0,1.0
47,1,3,2026-02-25,jump_test,approach_touch,128.8,inches,Morning test,4,128.8,Weight room,Volleyball shoes,4,,127.4,1.4000000000000057,128.43,130.7,False,127.2,1.6000000000000085,1.26,6.5,1,5,3,1,5,3,5,63.1,1920.0,10517.0,0.7302462679471332,Modify Training,6.3,2.0,2026-02-24,rest,Full rest day,0.0,0.0,0.0,1.0
51,1,3,2026-03-02,jump_test,approach_touch,129.6,inches,Morning test,4,129.6,Indoor court,Basketball shoes,4,,128.8,0.799999999999983,128.6,130.7,False,127.2,2.3999999999999915,1.89,7.8,3,2,0,0,5,4,5,76.4,1988.0,10667.0,0.7454767038530046,Train Hard,6.1,1.0,2026-03-01,rest,Full rest day,0.0,0.0,0.0,1.0
55,1,3,2026-03-07,jump_test,approach_touch,129.9,inches,After warmup,5,129.9,Weight room,Basketball shoes,4,,129.6,0.30000000000001137,129.43,130.7,False,127.2,2.700000000000003,2.12,6.4,3,2,2,2,5,3,5,77.0,2071.0,10506.0,0.7885018084903864,Train Hard,8.3,3.0,2026-03-06,strength,Upper-body strength,87.0,6.0,522.0,1.0
