athlete_id,athlete_name,sport,position,height_in,bodyweight_start_lb,standing_reach_in,primary_goal,created_at
1,Athlete 1,Volleyball,DS,72.5,189.2,91.9,Improve vertical jump,2026-01-01
2,Athlete 2,Volleyball,OPP,75.6,169.8,95.7,Build strength and power,2026-01-01
3,Athlete 3,Volleyball,MB,75.7,164.7,97.3,Increase approach touch,2026-01-01
4,Athlete 4,Volleyball,OH,72.6,164.8,91.5,Increase approach touch,2026-01-01
5,Athlete 5,Volleyball,DS,71.7,137.1,88.2,Improve vertical jump,2026-01-01
6,Athlete 6,Volleyball,DS,69.3,181.9,86.5,Build strength and power,2026-01-01
7,Athlete 7,Volleyball,Libero,68.3,207.2,84.6,Improve vertical jump,2026-01-01
8,Athlete 8,Volleyball,Libero,70.3,143.7,89.4,Reduce soreness while training,2026-01-01
9,Athlete 9,Volleyball,OPP,69.4,149.7,88.3,Improve vertical jump,2026-01-01
10,Athlete 10,Volleyball,OPP,72.1,168.6,90.7,Increase approach touch,2026-01-01
11,Athlete 11,Volleyball,OH,69.2,174.7,90.7,Improve volleyball performance,2026-01-01
12,Athlete 12,Volleyball,Libero,67.8,148.1,87.3,Improve vertical jump,2026-01-01
13,Athlete 13,Volleyball,Libero,71.6,145.8,88.0,Increase approach touch,2026-01-01
14,Athlete 14,Volleyball,DS,71.6,178.8,92.0,Build strength and power,2026-01-01
15,Athlete 15,Volleyball,DS,70.7,142.5,89.3,Improve volleyball performance,2026-01-01
16,Athlete 16,Volleyball,Setter,68.8,198.3,86.7,Increase approach touch,2026-01-01
17,Athlete 17,Volleyball,Setter,72.0,182.1,88.8,Improve volleyball performance,2026-01-01
18,Athlete 18,Volleyball,MB,69.8,188.5,87.6,Improve vertical jump,2026-01-01
19,Athlete 19,Volleyball,OH,74.1,156.5,95.5,Build strength and power,2026-01-01
20,Athlete 20,Volleyball,Setter,70.1,196.5,89.5,Improve explosiveness,2026-01-01
21,Athlete 21,Volleyball,MB,69.6,150.7,88.1,Increase approach touch,2026-01-01
22,Athlete 22,Volleyball,OH,67.4,204.8,86.8,Improve explosiveness,2026-01-01
23,Athlete 23,Volleyball,OPP,70.8,183.0,91.4,Improve vertical jump,2026-01-01
24,Athlete 24,Volleyball,Setter,69.1,208.8,88.3,Improve vertical jump,2026-01-01
25,Athlete 25,Volleyball,MB,70.9,117.4,92.4,Improve explosiveness,2026-01-01
26,Athlete 26,Volleyball,Libero,73.5,168.4,93.5,Improve explosiveness,2026-01-01
27,Athlete 27,Volleyball,OPP,71.3,170.2,87.6,Build strength and power,2026-01-01
28,Athlete 28,Volleyball,Setter,72.1,163.6,93.8,Improve volleyball performance,2026-01-01
29,Athlete 29,Volleyball,OPP,68.6,195.1,86.4,Reduce soreness while training,2026-01-01
30,Athlete 30,Volleyball,OPP,72.0,186.3,90.6,Improve volleyball performance,2026-01-01
31,Athlete 31,Volleyball,MB,71.3,159.6,92.0,Build strength and power,2026-01-01
32,Athlete 32,Volleyball,Libero,70.0,142.8,88.3,Improve explosiveness,2026-01-01
33,Athlete 33,Volleyball,Libero,71.9,175.1,91.7,Increase approach touch,2026-01-01
34,Athlete 34,Volleyball,DS,70.3,165.7,87.2,Improve vertical jump,2026-01-01
35,Athlete 35,Volleyball,OPP,70.0,171.5,87.7,Build strength and power,2026-01-01
36,Athlete 36,Volleyball,OH,72.2,178.8,94.5,Improve explosiveness,2026-01-01
37,Athlete 37,Volleyball,OPP,71.8,132.8,91.1,Increase approach touch,2026-01-01
38,Athlete 38,Volleyball,OPP,70.9,229.2,90.1,Reduce soreness while training,2026-01-01
39,Athlete 39,Volleyball,MB,70.4,174.2,89.9,Reduce soreness while training,2026-01-01
40,Athlete 40,Volleyball,DS,67.5,191.5,87.4,Improve explosiveness,2026-01-01
41,Athlete 41,Volleyball,OH,73.4,205.9,91.9,Improve explosiveness,2026-01-01
42,Athlete 42,Volleyball,MB,66.8,223.2,85.7,Increase approach touch,2026-01-01
43,Athlete 43,Volleyball,DS,68.0,177.2,85.5,Improve explosiveness,2026-01-01
44,Athlete 44,Volleyball,DS,69.5,176.5,85.9,Build strength and power,2026-01-01
45,Athlete 45,Volleyball,DS,67.8,154.8,86.8,Improve vertical jump,2026-01-01
