set_id,session_id,exercise_name,exercise_category,set_number,reps,weight_lb,distance_yards,duration_seconds,jump_count,perceived_difficulty_1_10,notes
1,1,Backward Treadmill Walk,recovery,1,,,,10.0,,5,
2,1,Calf Iso Hold,isometric,1,,,,30.0,,4,
3,1,Calf Iso Hold,isometric,2,,,,30.0,,5,
4,1,Calf Iso Hold,isometric,3,,,,30.0,,2,
5,2,Back Squat,lower_strength,1,6.0,142.9,,,,9,
6,2,Back Squat,lower_strength,2,6.0,198.2,,,,9,
7,2,Back Squat,lower_strength,3,6.0,157.4,,,,10,
8,2,Trap Bar Deadlift,lower_strength,1,5.0,137.4,,,,10,
9,2,Trap Bar Deadlift,lower_strength,2,5.0,97.1,,,,10,
10,2,Trap Bar Deadlift,lower_strength,3,5.0,152.0,,,,10,
11,2,Romanian Deadlift,lower_strength,1,8.0,133.5,,,,10,
12,2,Romanian Deadlift,lower_strength,2,8.0,175.6,,,,10,
13,2,Romanian Deadlift,lower_strength,3,8.0,179.4,,,,9,
14,2,Bulgarian Split Squat,lower_strength,1,8.0,160.1,,,,10,
15,2,Bulgarian Split Squat,lower_strength,2,8.0,231.7,,,,9,
16,2,Bulgarian Split Squat,lower_strength,3,8.0,121.6,,,,9,
17,2,Seated Calf Raise,lower_strength,1,10.0,118.1,,,,9,
18,2,Seated Calf Raise,lower_strength,2,10.0,150.9,,,,10,
19,2,Seated Calf Raise,lower_strength,3,10.0,222.9,,,,9,
20,3,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
21,5,Back Squat,lower_strength,1,6.0,136.8,,,,6,
22,5,Back Squat,lower_strength,2,6.0,170.4,,,,6,
23,5,Back Squat,lower_strength,3,6.0,157.7,,,,5,
24,5,Romanian Deadlift,lower_strength,1,8.0,130.9,,,,5,
25,5,Romanian Deadlift,lower_strength,2,8.0,273.3,,,,8,
26,5,Romanian Deadlift,lower_strength,3,8.0,61.6,,,,7,
27,5,Seated Calf Raise,lower_strength,1,10.0,135.5,,,,5,
28,5,Seated Calf Raise,lower_strength,2,10.0,223.3,,,,6,
29,5,Seated Calf Raise,lower_strength,3,10.0,132.6,,,,6,
30,6,Approach Jumps,plyometric,1,4.0,,,,4.0,4,
31,6,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
32,6,Approach Jumps,plyometric,3,4.0,,,,4.0,4,
33,6,Approach Jumps,plyometric,4,4.0,,,,4.0,5,
34,6,Pogos,plyometric,1,20.0,,,,20.0,7,
35,6,Pogos,plyometric,2,20.0,,,,20.0,3,
36,6,Pogos,plyometric,3,20.0,,,,20.0,5,
37,6,Depth Jumps,plyometric,1,5.0,,,,5.0,5,
38,6,Depth Jumps,plyometric,2,5.0,,,,5.0,6,
39,6,Depth Jumps,plyometric,3,5.0,,,,5.0,6,
40,6,Seated Box Jumps,plyometric,1,5.0,,,,5.0,6,
41,6,Seated Box Jumps,plyometric,2,5.0,,,,5.0,6,
42,6,Seated Box Jumps,plyometric,3,5.0,,,,5.0,6,
43,7,Hitting Lines,volleyball,1,30.0,,,1800.0,,9,
44,7,Serve Receive,volleyball,1,20.0,,,1200.0,,9,
45,7,Gameplay,volleyball,1,60.0,,,3600.0,,7,
46,8,Backward Treadmill Walk,recovery,1,,,,10.0,,4,
47,8,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
48,8,Spanish Squat Iso Hold,isometric,2,,,,30.0,,2,
49,8,Spanish Squat Iso Hold,isometric,3,,,,30.0,,1,
50,8,Calf Iso Hold,isometric,1,,,,30.0,,3,
51,8,Calf Iso Hold,isometric,2,,,,30.0,,3,
52,8,Calf Iso Hold,isometric,3,,,,30.0,,4,
53,9,Trap Bar Deadlift,lower_strength,1,5.0,98.6,,,,8,
54,9,Trap Bar Deadlift,lower_strength,2,5.0,133.8,,,,8,
55,9,Trap Bar Deadlift,lower_strength,3,5.0,206.8,,,,8,
56,10,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
57,10,Serve Receive,volleyball,1,20.0,,,1200.0,,9,
58,10,Gameplay,volleyball,1,60.0,,,3600.0,,8,
59,12,Back Squat,lower_strength,1,6.0,146.4,,,,9,
60,12,Back Squat,lower_strength,2,6.0,165.7,,,,7,
61,12,Back Squat,lower_strength,3,6.0,204.1,,,,6,
62,12,Seated Calf Raise,lower_strength,1,10.0,98.3,,,,6,
63,12,Seated Calf Raise,lower_strength,2,10.0,98.1,,,,8,
64,12,Seated Calf Raise,lower_strength,3,10.0,157.8,,,,9,
65,13,Approach Jumps,plyometric,1,4.0,,,,4.0,4,
66,13,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
